id,room,area,toilet,x,y,khoang_cach,n_hospital,Price_pred
5285,2,71.2,2,20.99629784,105.8056335,4.66,5,42.46376812
9163,3,116.0,2,21.04423332,105.7673187,3.74,0,36.0
2664,4,127.0,3,20.94645882,105.8557816,10.92,3,41.9342581180851
4178,2,66.0,2,21.04615211,105.9156494,11.1,1,75.26881719999999
3586,2,70.0,1,20.93970299,105.7872543,10.47,0,37.966417908749996
7365,2,91.0,2,21.01682663,105.8152237,2.81,4,36.941132793733345
4822,3,100.0,2,20.94645882,105.8557816,10.92,3,21.06060606
9434,2,70.0,2,20.96246719,105.792366,8.14,2,32.27272727181818
6062,3,103.0,2,21.00522614,105.8050613,3.77,4,49.056603773333336
6856,3,86.3,2,21.07024574,105.7914734,3.04,1,34.06060605818182
5021,2,75.0,2,20.97309303,105.8383713,7.75,1,34.375
10723,2,74.0,2,20.96246719,105.792366,8.14,2,25.23364486
9462,4,132.0,3,21.06575012,105.7982101,2.37,1,38.546655812758615
4384,3,82.0,2,21.0307312,105.7613297,4.51,1,33.8028169
5305,2,54.0,1,20.9525795,105.757576,10.19,0,57.98319328
4898,2,74.8,2,20.97602463,105.7615967,7.96,1,40.0
565,2,81.7,2,21.02216148,105.7717972,3.89,0,35.14285714142857
